Date,Name,Year,Letterboxd URI
2023-04-17,The Dark Crystal,1982,https://boxd.it/1Tm8
2023-04-17,The Funhouse,1981,https://boxd.it/1PUK
2023-04-17,Mr. Lucky,1943,https://boxd.it/KVG
2023-04-17,To Each His Own Cinema,2007,https://boxd.it/1bju
2023-04-18,Nowhere,1997,https://boxd.it/286E
2023-04-18,Perfect Blue,1997,https://boxd.it/1W7A
2023-04-18,Dawn of the Dead,1978,https://boxd.it/29gU
2023-04-18,Pi,1998,https://boxd.it/2ajq
2023-04-18,Citizen Kane,1941,https://boxd.it/71O
2023-04-19,The Seventh Seal,1957,https://boxd.it/2ahO
2023-04-21,Bicentennial Man,1999,https://boxd.it/2722
2023-04-21,Bitter Moon,1992,https://boxd.it/1W76
2023-04-25,Atrocious,2015,https://boxd.it/9yUa
2023-04-26,Manji,1983,https://boxd.it/bS0g
2023-04-27,Fugue,2018,https://boxd.it/hNGe
2023-04-30,Unicorn Wars,2022,https://boxd.it/lBma
2023-04-30,Pola X,1999,https://boxd.it/1c20
2023-05-01,Drunken Master,1978,https://boxd.it/1Ujk
2023-05-01,Die Hard,1988,https://boxd.it/2a7u
2023-05-01,G.I. Joe: The Rise of Cobra,2009,https://boxd.it/1Ndu
2023-05-01,Sundown,2021,https://boxd.it/wgbs
2023-05-02,All That I Love,2009,https://boxd.it/12RW
2023-05-02,Million Dollar Baby,2004,https://boxd.it/2bdI
2023-05-03,Victoria,2015,https://boxd.it/amSe
2023-05-05,"Paris, Texas",1984,https://boxd.it/29Ts
2023-05-05,Under California: The Limit of Time,1998,https://boxd.it/7j4E
2023-05-08,Naked Lunch,1991,https://boxd.it/26ow
2023-05-09,The Discovery,2017,https://boxd.it/d4gC
2023-05-09,Wild at Heart,1990,https://boxd.it/2aii
2023-05-10,I Killed My Mother,2009,https://boxd.it/1ubO
2023-05-10,Radius,2017,https://boxd.it/fuqC
2023-05-10,Loving Vincent,2017,https://boxd.it/biIQ
2023-05-10,"As Above, So Below",2014,https://boxd.it/7yui
2023-05-11,Good Bye Lenin!,2003,https://boxd.it/2ayA
2023-05-12,Moon,2009,https://boxd.it/1IGQ
2023-05-12,The Voices,2014,https://boxd.it/7b3S
2023-05-17,Un Chien Andalou,1929,https://boxd.it/29Y8
2023-05-18,The Vampire,1957,https://boxd.it/3Z3q
2023-05-18,The Curse of the Crying Woman,1961,https://boxd.it/a6M
2023-05-21,Tenet,2020,https://boxd.it/leq4
2023-05-23,Gia,1998,https://boxd.it/1NUo
